"Field Name","Field Label","Model","Field Type","Type","Indexed","Stored","Readonly","Related Model"
"x_studio_contact_category","Contact Category","Contact","selection","Custom Field","","True","",""
"x_studio_x_studio_first_name","First Name","Contact","char","Custom Field","","True","",""
"x_studio_last_visit_all_properties","Last Visit (All Properties)","Contact","date","Custom Field","","True","",""
"x_studio_related_field_7lq_1jdpstqrj","First Name (Copy)","Contact","char","Custom Field","","","True",""
"x_studio_related_field_3ks_1jdpt7f10","Parent name (Copy)","Contact","char","Custom Field","","","True",""
"x_studio_selection_field_4g5_1jdpvit6j","New Selection","Contact","selection","Custom Field","","True","",""
"x_studio_x_studio_record_category","Record Category","Contact","selection","Custom Field","","True","",""
"x_studio_x_studio_last_property_visit","Last Property Visit","Contact","date","Custom Field","","True","",""
"x_studio_x_studio_ok_to_text","OK to Text","Contact","selection","Custom Field","","True","",""
"x_studio_last_reactivation_sent","Last Reactivation Sent","Contact","date","Custom Field","","True","",""
"x_studio_x_type_of_service","Type of Service","Contact","char","Custom Field","","True","",""
"x_studio_pricing_menu","Pricing Menu","Contact","text","Custom Field","","True","True",""
"x_studio_x_alternating","Alternating","Contact","char","Custom Field","","True","",""
"x_studio_is_landline","Is Landline","Contact","boolean","Custom Field","","True","",""
"x_studio_x_is_landline","Is Landline","Contact","boolean","Custom Field","","True","",""
"x_crm_activity_log_ids","CRM Activity History","Contact","one2many","Custom Field","","True","","x_crm_activity_log"
"x_studio_sent_me","sent me","Contact","date","Custom Field","","True","",""
"x_studio_x_studio_second_phone","Second Phone","Contact","char","Custom Field","","True","",""
"x_studio_service_area","Service Area","Contact","char","Custom Field","","True","",""
"x_last_service_date","Last Service Date","Contact","date","Custom Field","","True","",""
"x_studio_prices_per_service","Prices Per Service","Contact","text","Custom Field","","True","",""
"x_studio_x_studio_service_area","Service Area","Contact","char","Custom Field","","True","",""
"x_studio_x_studio_last_service_date","Last Service Date*","Contact","date","Custom Field","","True","",""
"x_studio_x_studio_confirm_send","Confirm Send","Contact","boolean","Custom Field","","True","",""
"x_studio_x_gate_code","Gate Code","Contact","char","Custom Field","","True","",""
"x_studio_x_studio_last_name","Last Name","Contact","char","Custom Field","","True","",""
"x_studio_x_studio_location_id","Workiz Location ID.","Contact","char","Custom Field","","True","",""
"x_studio_x_frequency","Frequency","Contact","char","Custom Field","","True","",""
"x_studio_x_pricing","Pricing Note","Contact","char","Custom Field","","True","",""
"x_workiz_graveyard_link","Workiz Graveyard Link","Lead","char","Custom Field","","True","",""
"x_odoo_contact_id","Odoo Contact ID","Lead","integer","Custom Field","","True","",""
"x_historical_workiz_uuid","Historical Workiz UUIDk","Lead","char","Custom Field","","True","",""
"x_primary_service","Primary Service","Lead","char","Custom Field","","True","",""
"x_workiz_graveyard_uuid","Workiz Graveyard UUID","Lead","text","Custom Field","","True","",""
"x_studio_x_studio_notes_snapshot1","Notes Snapshot","Sales Order","text","Custom Field","","True","",""
"x_studio_char_field_7f9_1jctcmuu5","New Text","Sales Order","char","Custom Field","","True","",""
"x_studio_x_studio_workiz_status","Workiz Status","Sales Order","char","Custom Field","","True","",""
"x_studio_x_gate_snapshot","Gate Snapshot","Sales Order","char","Custom Field","","True","",""
"x_studio_char_field_1ar_1jctcfvaa","New Text","Sales Order","char","Custom Field","","True","",""
"x_studio_gate_snapshot","Gate Snapshot","Sales Order","char","Custom Field","","True","",""
"x_studio_char_field_7ml_1jctcl0t1","New Text","Sales Order","char","Custom Field","","True","",""
"x_studio_x_workiz_link","Workiz Link","Sales Order","char","Custom Field","","True","",""
"x_studio_x_studio_confirm_send"," Confirm Send","Sales Order","boolean","Custom Field","","True","",""
"x_studio_x_studio_x_studio_job_type","Job Type","Sales Order","selection","Custom Field","","True","",""
"x_studio_x_studio_workiz_tech","Workiz Tech","Sales Order","char","Custom Field","","True","",""
"x_studio_binary_field_7sv_1jdp3p4in","New File","Sales Order","binary","Custom Field","","True","",""
"x_studio_binary_field_7sv_1jdp3p4in_filename","Filename for x_studio_binary_field_7sv_1jdp3p4in","Sales Order","char","Custom Field","","True","",""
"x_studio_x_studio_lead_source","Lead Source","Sales Order","selection","Custom Field","","True","",""
"x_studio_x_studio_workiz_link","Workiz Link","Sales Order","char","Custom Field","","True","",""
"x_studio_x_studio_workiz_uuid","Workiz UUID","Sales Order","char","Custom Field","","True","",""
"x_studio_x_studio_pricing_snapshot","Pricing Snapshot","Sales Order","char","Custom Field","","True","",""
"x_name","Name","CRM Activity Log","char","Custom Field","","True","",""
"x_description","Description","CRM Activity Log","text","Custom Field","","True","",""
"x_activity_type","Activity Type","CRM Activity Log","selection","Custom Field","","True","",""
"x_related_order_id","Related Order","CRM Activity Log","many2one","Custom Field","","True","","sale.order"
"x_campaign_id","Campaign","CRM Activity Log","many2one","Custom Field","","True","","utm.campaign"
"x_contact_id","Parent Contact","CRM Activity Log","many2one","Custom Field","","True","","res.partner"
"x_studio_x_studio_staged_description","Staged Description","Sales Order Line","char","Custom Field","","True","",""
